data,label
a rejected x-files episode ,"[1, 0]"
unpaid ,"[1, 0]"
genre cliches ,"[1, 0]"
this supposedly funny movie ,"[1, 0]"
a crucial third act miscalculation ,"[1, 0]"
getting the better of obnoxious adults ,"[1, 0]"
", hole-ridden plotting ","[1, 0]"
"this overlong infomercial , ","[1, 0]"
a low-rent retread ,"[1, 0]"
tiresome love triangles ,"[1, 0]"
", unholy hokum . ","[1, 0]"
a sour taste ,"[1, 0]"
the worst dialogue ,"[1, 0]"
turd ,"[1, 0]"
movie sputters ,"[1, 0]"
determination to inject farcical raunch ,"[1, 0]"
the biggest problem i have ,"[1, 0]"
overmanipulative hollywood practices ,"[1, 0]"
"rushed , slapdash , sequel-for-the-sake - of-a-sequel ","[1, 0]"
no one can hear you snore ,"[1, 0]"
its pulpy core conceit ,"[1, 0]"
narcissistic ,"[1, 0]"
: it 's not really funny . ,"[1, 0]"
naked teenagers horror flick ,"[1, 0]"
wafer-thin ,"[1, 0]"
worse ,"[1, 0]"
flabby ,"[1, 0]"
totally past his prime ,"[1, 0]"
incurably ,"[1, 0]"
a one-trick pony ,"[1, 0]"
showing off ,"[1, 0]"
its unsettling prognosis ,"[1, 0]"
the insanity ,"[1, 0]"
showtime deserves the hook . ,"[1, 0]"
hanging ,"[1, 0]"
"life , hand gestures , and ","[1, 0]"
talky films ,"[1, 0]"
no clue ,"[1, 0]"
live-action cartoon ,"[1, 0]"
a documentary and more propaganda ,"[1, 0]"
"rushed , slapdash , ","[1, 0]"
", partisans and sabotage ","[1, 0]"
anguished ,"[1, 0]"
blacked out ,"[1, 0]"
obvious copy ,"[1, 0]"
waters ,"[1, 0]"
a child 's pain ,"[1, 0]"
an incomprehensible ,"[1, 0]"
than bad ,"[1, 0]"
few points ,"[1, 0]"
sequences boring ,"[1, 0]"
assert ,"[1, 0]"
the action clichés just pile up . ,"[1, 0]"
problematic quest ,"[1, 0]"
an eviction notice ,"[1, 0]"
"vulgar , sexist ","[1, 0]"
` juvenile delinquent ' paperbacks ,"[1, 0]"
fetid underbelly ,"[1, 0]"
", and totally disorientated ","[1, 0]"
jumbled ,"[1, 0]"
its standard formula ,"[1, 0]"
wears ,"[1, 0]"
"episodic choppiness , ","[1, 0]"
so horrendously confusing ,"[1, 0]"
mopes ,"[1, 0]"
an apartheid drama ,"[1, 0]"
joyless ,"[1, 0]"
the film 's predictable denouement ,"[1, 0]"
mishandled ,"[1, 0]"
", but slow ","[1, 0]"
exploitation piece ,"[1, 0]"
bad movie ,"[1, 0]"
odoriferous thing ,"[1, 0]"
