data1,data2,label
Any idea of what sweater this is?,What sweater is this?,"[1, 0]"
"""What is """"angdai lena"""" called in English?""","""What do you call """"Kharra/Mawa"""" in English?""","[1, 0]"
How many states are there in Pakistan?,How many Sikh are there in Pakistan?,"[1, 0]"
What animals eat mice?,What animals eat mosquitoes?,"[1, 0]"
"""How could we say """"也是醉了"""" in English?""","""How do I say """"有规律可循"""" in English?""","[1, 0]"
"""What does """"="""" mean in java?""","""What does """"!"""" mean in Java?""","[1, 0]"
"""How do you think you are """"Different""""...?""","""How can I """"think differently""""?""","[1, 0]"
Income statement of Flipkart?,Important questions of anatomy pectoral region?,"[1, 0]"
MBA in India?,Assembling multi brand home theatre?,"[1, 0]"
How big a planet can be?,How big is the planet?,"[1, 0]"
Public administration as optional subject?,Diploma courses after B pharmacy?,"[1, 0]"
"""What does """"iralos"""" in Spanish mean?""","""What does """"anoque"""" mean in Spanish?""","[1, 0]"
How many Twitter users are there in Switzerland?,How many Twitter users are there?,"[1, 0]"
How prestigious is Cornell in California?,How prestigious is Cornell?,"[1, 0]"
How many time zones does Australia have?,How many time zones are there?,"[1, 0]"
What kind of animals estivate?,What kind of animal is this?,"[1, 0]"
"""What is the meaning of """"folarin""""?""","""What is the meaning of """"what's up""""?""","[1, 0]"
VIT through management quota?,2016 must have Android apps?,"[1, 0]"
What kind of pepper is this?,What kind of peppers are there?,"[1, 0]"
"""What does the name """"Sheenam"""" mean?""","""What does the name """"Maysar"""" mean?""","[1, 0]"
"""What song is used in """"They""""?""","""What song is used in """"Enough""""?""","[1, 0]"
How fast can humans swim?,How fast can a human run?,"[1, 0]"
"""What does """"equilibrium"""" mean in science?""","""What does """"equilibrium"""" mean?""","[1, 0]"
How many times has flight evolved in non-vertebrates?,How many times has flight evolved in vertebrates?,"[1, 0]"
Which country invented the sandwich?,Which country invented the pancake?,"[1, 0]"
London show that you can't miss ?,Most popular adopt a cat sites ?,"[1, 0]"
"""What are some sentence examples using """"insinuate""""?""","""What are some sentence examples using """"incite""""?""","[1, 0]"
How much rupees are there in a USD?,How much is 100$ in rupees?,"[1, 0]"
"""What does """"Que chafa!"""" mean in Spanish?""","""What does """"mahina"""" mean in Spanish?""","[1, 0]"
What is 2.5 factorial?,What is 2.3 factorial?,"[1, 0]"
"""What does """"<3"""" mean?""","""What's the meaning of """"精神赵家人""""?""","[1, 0]"
How many Twitter users tweet?,How many Twitter users are there?,"[1, 0]"
Which actress pierced her navel?,Which actress kissed in navel?,"[1, 0]"
How good is PayUMoney?,How good is PAYTM?,"[1, 0]"
How long does a marijuana high last?,How long will my weed-brownie high last?,"[1, 0]"
How important is to be communicative?,How important is communication to you?,"[1, 0]"
"""How do I pronounce """"Padmé""""?""","""How do you pronounce """"talk""""?""","[1, 0]"
"""What part of speech is """"was""""?""",What part of speech is tell?,"[1, 0]"
You are what you eat?,Facts about Indian army disappointing Indian?,"[1, 0]"
How fast does a computer read?,How fast is quantum computer?,"[1, 0]"
What is tan of tan (inverse) of (-4)?,What is tan of 2 tan (inverse) 1/5?,"[1, 0]"
What part of speech is tell?,"""What part of speech is """"this""""?""","[1, 0]"
What foods cause farting?,What food causes less gas?,"[1, 0]"
How old is Justsold.in?,How old are you?,"[1, 0]"
How frequent should one have sex?,How frequently can I have sex?,"[1, 0]"
Google machine learning?,"Life coaches, can you answer this question?","[1, 0]"
How many hours does Beyoncé sleep?,How many hours should we sleep?,"[1, 0]"
What colours complement amber?,What colors complement grey?,"[1, 0]"
How many hours do you sleep every day?,How many hours do psychopaths sleep each day?,"[1, 0]"
How fast are you?,How fast is fast?,"[1, 0]"
"""How common is """"common"""" in common sense?""","""How common is """"common sense""""?""","[1, 0]"
Significance of Muharram?,Most viewed writer on Ayurveda?,"[1, 0]"
What percentage of Hindus are theists?,What percentage of Hindus are atheists?,"[1, 0]"
