data,label
I said this he left,"[1, 0]"
It was kissed her.,"[1, 0]"
Traci gave a lollipop.,"[1, 0]"
The mixture funnels easily.,"[1, 0]"
Calvin ate not his dinner.,"[1, 0]"
The magician echoed the music.,"[1, 0]"
Rose accompanied.,"[1, 0]"
Kim must bakes a cake.,"[1, 0]"
Larry all hunted the foxes.,"[1, 0]"
John's I stole bike.,"[1, 0]"
How brave Mike is cowardly and Sam is!,"[1, 0]"
I funneled the mixture.,"[1, 0]"
I lent Tony the book partway.,"[1, 0]"
"His expectations lower, the higher the stakes are.","[1, 0]"
They drank the pub.,"[1, 0]"
My eyes are itching my brother.,"[1, 0]"
Bill sent London a package.,"[1, 0]"
"Yes, she.","[1, 0]"
I put.,"[1, 0]"
John convinced to sleep.,"[1, 0]"
I gave her so.,"[1, 0]"
I said that that Jason was jealous annoyed Medea,"[1, 0]"
Robin arrived partway at the station.,"[1, 0]"
"They can't do it, can't they?","[1, 0]"
Max gave the car Levi's shove.,"[1, 0]"
I kicked me,"[1, 0]"
Oliver drove me a lunatic.,"[1, 0]"
Not more reliable a man could be found.,"[1, 0]"
The experts attributed Raphael this picture.,"[1, 0]"
She kicked itself,"[1, 0]"
The squirrel is right angry.,"[1, 0]"
We are knowing this theory.,"[1, 0]"
John leftn't the party early.,"[1, 0]"
Cynthia munched peaches.,"[1, 0]"
John suddenly got the bus off.,"[1, 0]"
"Fluffy is sick, as nobody knows.","[1, 0]"
Jean is likely.,"[1, 0]"
Genie intoned the mirror.,"[1, 0]"
Patrick to leave is likely.,"[1, 0]"
A solution immediately presented.,"[1, 0]"
the box contains little tool.,"[1, 0]"
He does have been eating.,"[1, 0]"
The fence hits easily.,"[1, 0]"
He washed herself.,"[1, 0]"
That cat touches easily.,"[1, 0]"
Lee solved the puzzle how Kim solved it.,"[1, 0]"
John studied carefully Russian.,"[1, 0]"
Louis begged Kate that she leave her job.,"[1, 0]"
Jason killed.,"[1, 0]"
This hammer won't break.,"[1, 0]"
He liked Anson.,"[1, 0]"
Jean moved at the table.,"[1, 0]"
Medea exclaimed if the potion was ready,"[1, 0]"
I lent Tony the book halfway.,"[1, 0]"
The house constructed.,"[1, 0]"
We ate at.,"[1, 0]"
We all thought him was unhappy,"[1, 0]"
Cheryl stood the shelf with books.,"[1, 0]"
He can can go,"[1, 0]"
The city destroyed.,"[1, 0]"
Innocent victims murder easily.,"[1, 0]"
Talkative and a bully entered.,"[1, 0]"
Any lion is rare.,"[1, 0]"
"Mary claimed that would eat cabbage, Holly.","[1, 0]"
She hit myself with a hammer.,"[1, 0]"
Ron captured quickly a phoenix,"[1, 0]"
He analysis her was flawed,"[1, 0]"
The builders destroyed at the warehouse.,"[1, 0]"
Some who read anything passed.,"[1, 0]"
They said him to be rich.,"[1, 0]"
It tried to bother me that Chris lied.,"[1, 0]"
Donny is likely that left.,"[1, 0]"
The politician perjured his aide.,"[1, 0]"
The man chased Fido returned.,"[1, 0]"
The child and her mother clung.,"[1, 0]"
"The more you eat, you want the more.","[1, 0]"
She tried to may leave,"[1, 0]"
John write books.,"[1, 0]"
Linda winked his eye.,"[1, 0]"
Mary runs often the marathon.,"[1, 0]"
We yelled ourselves.,"[1, 0]"
It said that Kim was happy.,"[1, 0]"
I blew up it.,"[1, 0]"
I want Bradley that left.,"[1, 0]"
He figured out Ann.,"[1, 0]"
the room contains few furniture.,"[1, 0]"
The assignment completed.,"[1, 0]"
The day snowed,"[1, 0]"
Carmen obtained Mary a spare part.,"[1, 0]"
We talked about that he was sick for days.,"[1, 0]"
The cup filled water.,"[1, 0]"
The man a ball kicked.,"[1, 0]"
Mary judged there.,"[1, 0]"
I shaved myself.,"[1, 0]"
John to fix the computer.,"[1, 0]"
This fact is key.,"[1, 0]"
Digitize is my happiest memory,"[1, 0]"
the easily student finished his homework.,"[1, 0]"
It was claimed that by everyone the poison was neutralised,"[1, 0]"
The book brought to the meeting.,"[1, 0]"
The best writer was considered Andrew.,"[1, 0]"
Joe is taller than I think Mary.,"[1, 0]"
A proof that God exist does.,"[1, 0]"
John to call would be unlikely.,"[1, 0]"
Mary appreciates John and himself.,"[1, 0]"
I handed the ball.,"[1, 0]"
That whether the world is round is unknown bothered Athena.,"[1, 0]"
Jennifer craned her arm.,"[1, 0]"
She's just enough tall.,"[1, 0]"
I only eat fish drunk raw.,"[1, 0]"
Mary has more friends that two.,"[1, 0]"
I emptied it with butter.,"[1, 0]"
Oliver ascribed his longevity there.,"[1, 0]"
Mary persuaded to leave John.,"[1, 0]"
Those monkey are eating the banana.,"[1, 0]"
Mickey looked up it.,"[1, 0]"
It is the problem that he is here.,"[1, 0]"
John believes it sincerely that Bill is here.,"[1, 0]"
Mary wonders that Bill will come.,"[1, 0]"
Ourselves like ourselves.,"[1, 0]"
I inquired when could we leave.,"[1, 0]"
Leslie likes ourselves.,"[1, 0]"
Sally kissed himself.,"[1, 0]"
The bookcase ran,"[1, 0]"
Jessica crammed boxes at the truck.,"[1, 0]"
He can will go,"[1, 0]"
The storm arrived while the picnic.,"[1, 0]"
many information was provided.,"[1, 0]"
The bird sing.,"[1, 0]"
Kim put in the box.,"[1, 0]"
My heart is pounding me.,"[1, 0]"
Pat is hate Chris.,"[1, 0]"
The defendant deny the allegation.,"[1, 0]"
The person confessed responsible.,"[1, 0]"
John felt it that Bill was tardy.,"[1, 0]"
The problem perceives easily.,"[1, 0]"
Birds sings.,"[1, 0]"
Packages drive easily to New York.,"[1, 0]"
Linda winked her lip.,"[1, 0]"
Everyone hopes everyone to sleep.,"[1, 0]"
The lax supervision was taken advantage of.,"[0, 1]"
Kim was a banker.,"[0, 1]"
Thunder frightens the dog.,"[0, 1]"
It came to John that it was so.,"[0, 1]"
Sarah smiled.,"[0, 1]"
How long did it last?,"[0, 1]"
John doesn't eat enough.,"[0, 1]"
Jean wants Robert.,"[0, 1]"
Miss Bates can chatter on for hours.,"[0, 1]"
I hit the ball.,"[0, 1]"
This handsome man chased a dog.,"[0, 1]"
"Me, I like beer.","[0, 1]"
Tom is confident that the elephants respect him.,"[0, 1]"
I sent the package to London.,"[0, 1]"
The baby dressed.,"[0, 1]"
Jean never reads this newspaper.,"[0, 1]"
"The door opens, closes.","[0, 1]"
That ball hit a student.,"[0, 1]"
I hope to study in France.,"[0, 1]"
"The more you eat, the less you want.","[0, 1]"
Jean tried to behave.,"[0, 1]"
John immediately learned French perfectly.,"[0, 1]"
The river froze solid.,"[0, 1]"
The dragons simply all died out.,"[0, 1]"
Ions left the electrode.,"[0, 1]"
John died last night.,"[0, 1]"
We wonder whether Bill left.,"[0, 1]"
The time elapsed slowly.,"[0, 1]"
The birds devour the worm.,"[0, 1]"
The tree dropped some branches.,"[0, 1]"
Fruit dropped from the tree.,"[0, 1]"
I know that she runs.,"[0, 1]"
I know how much you ate.,"[0, 1]"
Carrie touched the cat.,"[0, 1]"
I blew up the building.,"[0, 1]"
The child became a man.,"[0, 1]"
Rory ate muffins.,"[0, 1]"
She said that in came Aunt Norris.,"[0, 1]"
John wants to win.,"[0, 1]"
The car was being driven.,"[0, 1]"
I gave Jack a picture of myself.,"[0, 1]"
I consider him immoral.,"[0, 1]"
I wonder whom Sandy loves.,"[0, 1]"
I thought she was pregnant,"[0, 1]"
The builders destroyed the warehouse.,"[0, 1]"
That tall woman chased a cat.,"[0, 1]"
Ellen was conferring.,"[0, 1]"
Mary has more enemies than Bill has friends.,"[0, 1]"
The little boy broke the window.,"[0, 1]"
Mark's single mindedness terrified me.,"[0, 1]"
I'm glad a linguist likes me.,"[0, 1]"
The men mined the gold.,"[0, 1]"
The worm wriggled onto the carpet.,"[0, 1]"
Most helpful advice is unwanted.,"[0, 1]"
Bill recited his lines poorly.,"[0, 1]"
The tuna had been eaten.,"[0, 1]"
Italy touches France.,"[0, 1]"
They read the new book.,"[0, 1]"
The shooting of the prisoners shocked me.,"[0, 1]"
I have getting into college to consider.,"[0, 1]"
The three sunbathers went swimming.,"[0, 1]"
Paula hit Deirdre on the back.,"[0, 1]"
John ate.,"[0, 1]"
Aphrodite does free animals,"[0, 1]"
John inquired which book he should read.,"[0, 1]"
Mary managed to go abroad.,"[0, 1]"
Fred feels fine.,"[0, 1]"
The cup broke.,"[0, 1]"
This needs investigating.,"[0, 1]"
The ball rolled over the hill.,"[0, 1]"
People go hunting in the Autumn.,"[0, 1]"
I'm glad anybody likes me!,"[0, 1]"
Bill pounded the metal.,"[0, 1]"
John often kisses Mary.,"[0, 1]"
"Sandy must, too.","[0, 1]"
John kept him behind the garage.,"[0, 1]"
My mother baked a cake for me.,"[0, 1]"
I wonder if she will use paints.,"[0, 1]"
They have left.,"[0, 1]"
It is illegal to park here.,"[0, 1]"
I showed Mary several portraits of herself.,"[0, 1]"
Pictures of himself always disturb Milo.,"[0, 1]"
Mary told Bill that John was elected.,"[0, 1]"
That kind of behavior annoys me.,"[0, 1]"
John refused the offer proudly.,"[0, 1]"
The tall man kicked the ball.,"[0, 1]"
Anson demonized David almost constantly.,"[0, 1]"
Everyone had been worrying himself stiff.,"[0, 1]"
The paper incorporates the new results.,"[0, 1]"
He looked it up,"[0, 1]"
I pushed the table.,"[0, 1]"
They hit the ball.,"[0, 1]"
much advice is needed.,"[0, 1]"
I wanted to leave.,"[0, 1]"
"You should leave, shouldn't you?","[0, 1]"
I wondered who it was you saw.,"[0, 1]"
John saw Stephan,"[0, 1]"
The puppy was kissed.,"[0, 1]"
John wants Bill to leave.,"[0, 1]"
"Fluffy is sick, which nobody knows.","[0, 1]"
The train reached the station.,"[0, 1]"
The boy ran.,"[0, 1]"
Agamemnon attempted to behave well.,"[0, 1]"
I wonder whether Mary will win.,"[0, 1]"
Tom told somebody that he wasn't sick.,"[0, 1]"
I know two men behind me.,"[0, 1]"
I said for Mary to run.,"[0, 1]"
I claimed she was pregnant,"[0, 1]"
The scissors are lost,"[0, 1]"
John seems to be honest.,"[0, 1]"
Dave and Alina left.,"[0, 1]"
Ellen warned Helen.,"[0, 1]"
John knows that she left.,"[0, 1]"
I must eat macaroni.,"[0, 1]"
Gilgamesh hasn't kissed Ishtar.,"[0, 1]"
The book was written.,"[0, 1]"
He offended Sandy.,"[0, 1]"
